ID,Original_ID,Country Name,Country ISO3,Income Level,Authority,Date,Level 1 policy measures,Level 2 policy measures,Level 3 policy measures,Details of the measure,Reference,Termination Date,Modification of Parent Measure,Parent Measure,was_modified
1213,1794,China,CHN,Upper middle income,Gov,2020-04-22,Banking sector,Prudential,"Relaxation in npe treatment (definition, classification, provisioning)",Rreduce the provision coverage (by 20 percentage points) of small and medium banks,http://www.gov.cn/xinwen/2020-04/22/content_5504958.htm,,No,,False
1214,1801,"Egypt, arab rep.",EGY,Lower middle income,Cb,2020-04-22,Payment systems,Other payments,,Increasing the daily maximum limit for withdrawals and cash deposits in bank branches and ATMs set  on March 29 to cash deposits for individuals to become 50 thousand Egyptian pounds from branches and 20 thousand Egyptian pounds of ATMs.,https://www.cbe.org.eg/en/Pages/HighlightsPages/Circular-dated-22-April-2020-regarding-amending-the-maximum-limits-for-cash-deposits-&-withdrawals-issued-on-29-March-2020.aspx,,Other,978.0,True
1215,1818,"Hong kong sar, china",HKG,High income,Cb,2020-04-22,Liquidity/funding,Liquidity (incl fx)/ela,,Announced the introduction of a temporary US Dollar Liquidity Facility (the Facility) to make available US dollar liquidity assistance for licensed banks through funds obtained through the Federal Reserves' FIMA Repo Facility. It's intention is to maintain the facility until September 30 2020,https://www.hkma.gov.hk/eng/news-and-media/press-releases/2020/04/20200422-4/,2020-09-30,No,,False
1216,1819,"Hong kong sar, china",HKG,High income,Sup,2020-04-22,Banking sector,Prudential,Prioritize or review critical supervisory actions,HKMA decided to postpone the 2020 Supervisor-Driven Stress Test until 2021.,https://www.hkma.gov.hk/media/eng/doc/key-information/guidelines-and-circular/2020/20200422e2.pdf,,No,,False
1217,1820,Hungary,HUN,High income,Res,2020-04-22,Financial markets/nbfi,Public debt management,Adjusting funding strategy,"DMO (AKK) announced revised Annual Borrowing Plan. Reduced retail sale. Increased FX bond issuance (from EUR 1 billion to 4 billion), of which 2 billion done on 04/23. HUF 1,632 billion (~USD 5 billion) additional issuance of domestic wholesale instruments,  buildingon the 3Y and 5Y bonds.",https://akk.hu/en/news/akk-modifies-2020-financing-plan-1,,No,,False
1218,1824,Indonesia,IDN,Lower middle income,Gov,2020-04-22,Financial markets/nbfi,Nbfi,Other nbfi,POJK Number 14 / POJK.05 / 2020 Concerning Countercyclical Policies on the Spread of Coronavirus Disease 2019 for Nonbank Financial Services Institutions - clarify the provision of financing restructuring for debtors affected by COVID-19,https://www.ojk.go.id/id/regulasi/Documents/Pages/Kebijakan-Countercyclical-Dampak-Penyebaran-Coronavirus-Disease-2019-bagi-Lembaga-Jasa-Keuangan-Non-Bank/pojk%2014-2020.pdf,,No,,False
1219,1825,Indonesia,IDN,Lower middle income,Gov,2020-04-22,Financial markets/nbfi,Market functioning,Regulatory measures,POJK Number 15 / POJK.04 / 2020 Concerning Plans and Conducting General Meeting of Shareholders of Public Companies,https://www.ojk.go.id/id/regulasi/Documents/Pages/Rencana-dan-Penyelenggaraan-Rapat-Umum-Pemegang-Saham-Perusahaan-Terbuka-/pojk%2015-2020.pdf,,No,,False
1220,1826,Indonesia,IDN,Lower middle income,Gov,2020-04-22,Financial markets/nbfi,Market functioning,Regulatory measures,POJK Number 16 / POJK.04 / 2020 Concerning the Conducting of a General Meeting of Shareholders of an Electronic Public Company,https://www.ojk.go.id/id/regulasi/Documents/Pages/Pelaksanaan-Rapat-Umum-Pemegang-Saham-Perusahaan-Terbuka-Secara-Elektronik--/pojk%2016-2020.pdf,,No,,False
1221,1827,Indonesia,IDN,Lower middle income,Gov,2020-04-22,Financial markets/nbfi,Market functioning,Regulatory measures,POJK Number 17 / POJK.04 / 2020 Concerning Material Transactions and Changes in Business Activities,https://www.ojk.go.id/id/regulasi/Documents/Pages/Transaksi-Material-dan-Perubahan-Kegiatan-Usaha/pojk%2017-2020.pdf,,No,,False
1222,1829,Israel,ISR,High income,Cb,2020-04-22,Banking sector,Prudential,Other prudential flexibility,Reducing the additional 1 percent capital requirement in respect of housing loans,https://www.boi.org.il/en/NewsAndPublications/PressReleases/Pages/21-4-20.aspx,,No,,False
1223,1830,Israel,ISR,High income,Cb,2020-04-22,Banking sector,Prudential,"Ease other macroprudential measures (eg, dti, ltv)","Providing leniency in the restrictions on housing loans for workers placed on unpaid leave, including allowing the restriction on the payment-to-income (PTI) rat���io to be 70 percent under certain condition",https://www.boi.org.il/en/NewsAndPublications/PressReleases/Pages/21-4-20.aspx,,No,,False
1224,1831,Italy,ITA,High income,Cb,2020-04-22,Banking sector,Prudential,Reduce non-essential regulatory reporting requirements for banks,"Extended recent European Banking Authority and European Central Bank decisions on ""harmonized reports""  to less significant banks and security investment firms; these firms may submit supervisory reports between April 30, 2020 and May 31, 2020. Liquidity coverage requirements and funding plans are excluded from the deadline extension, and they may be submitted within two months of the original deadline.",https://www.bancaditalia.it/media/notizia/covid-19-misure-in-materia-di-segnalazioni-di-vigilanza/,,No,,False
1225,1840,Lebanon,LBN,Upper middle income,Cb,2020-04-22,Banking sector,Crisis management,Strengthen crisis management framework,BDL extends period of credit facilities for one month to include June 2020. It also imposed additional eligibility criteria to benefit from these facilities by excluding entities that were exempted from the lockdown decision or those whose financial performance did not deteriorate due to the current crisis.,,2020-06-30,Extension,738.0,True
1226,1845,"Micronesia, fed. sts.",FSM,Lower middle income,Gov,2020-04-03,Banking sector,Support borrowers,"State subsidies, direct loans and tax incentives to facilitate repayments",Interest payments to banks on behalf of affected businesses,https://dofa.gov.fm/wp-content/uploads/2020/04/PL-21-104.pdf,,No,,False
1227,1846,Philippines,PHL,Lower middle income,Cb,2020-04-22,Payment systems,Promoting and ensuring availability of digital payment mechanisms,,"Encouraged the use of e-payments amid the Luzon-wide, enhanced community quarantine (ECQ) to minimize face-to-face  transactions and prevent the spread of COVID-19",http://www.bsp.gov.ph/publications/media.asp?id=5363,,No,,False
1228,1862,"Korea, rep.",KOR,High income,Sup,2020-04-22,Banking sector,Prudential,"Release/defer capital buffers (conservation, counter-cyclical, systemic)",Excluded small sized regional banks from the list of domestic systemically important banks (D-SIBs) and exempted them from the 1 percentage point additional capital buffer rule dictated by the early adoption of Basel III credit risk framework,http://meng.fsc.go.kr/common/pdfjs/web/viewer.html?file=/upload/press1/20200420131551_6b1c15d3.pdf,,No,,False
1229,1863,"Korea, rep.",KOR,High income,Sup,2020-04-22,Banking sector,Prudential,"Relaxation in capital requirement (definition of capital, car, risk weights)",Lowered credit risk weights for SME loans and loss given default rates for business loans through the early adoption of Basel III credit risk framework,http://meng.fsc.go.kr/common/pdfjs/web/viewer.html?file=/upload/press1/20200420131551_6b1c15d3.pdf,,No,,False
1230,1864,"Korea, rep.",KOR,High income,Sup,2020-04-22,Payment systems,Promoting and ensuring availability of digital payment mechanisms,,"Raised the cap on the face value of non-personalized prepaid cards from KRW500,000 to KRW3 million until September 30, 2020",http://www.fsc.go.kr/downManager?bbsid=BBS0048&no=151669,2020-09-30,No,,False
1231,1865,"Korea, rep.",KOR,High income,Sup,2020-04-22,Liquidity/funding,Asset purchases,,"Established a special purpose vehicle of (KRW20 trillion) to purchase corporate bonds, commercial paper and short-term debts, including junk rated bonds",http://www.fsc.go.kr/downManager?bbsid=BBS0048&no=151742,,No,,False
1232,1866,"Korea, rep.",KOR,High income,Sup,2020-04-22,Banking sector,Support borrowers,"State subsidies, direct loans and tax incentives to facilitate repayments",Expanding the KRW12 0 trillion in emergency financing support for small merchants to KRW16.4 trillion through reserve funds.,http://www.fsc.go.kr/downManager?bbsid=BBS0048&no=151742,,Other,1149.0,True
1233,1867,"Korea, rep.",KOR,High income,Sup,2020-04-22,Banking sector,Support borrowers,"State subsidies, direct loans and tax incentives to facilitate repayments","Establishing a KRW 40 trillion+ new stabilization fund to support key industries, which will be operated by the Korea Development Bank",http://www.fsc.go.kr/downManager?bbsid=BBS0048&no=151742,,No,,False
1234,1872,Turkey,TUR,Upper middle income,Cb,2020-04-22,Liquidity/funding,Policy rate,,Reduce the policy rate (one-week repo auction rate) from 9.75 percent to 8.75 percent,https://www.tcmb.gov.tr/wps/wcm/connect/EN/TCMB+EN/Main+Menu/Announcements/Press+Releases/2020/ANO2020-23,,No,,False
1235,1873,United kingdom,GBR,High income,Sup,2020-04-22,Banking sector,Prudential,Reduce non-essential regulatory reporting requirements for banks,FCA introduced some temporary measures for firms submitting regulatory returns. We have extended the submission deadlines for the regulatory returns listed below. The extension applies for submissions that are due up to and including 30 June 2020.,https://www.fca.org.uk/firms/regulatory-reporting/changes-regulatory-reporting-30-june-2020,,No,,False
1236,1874,United kingdom,GBR,High income,Cb,2020-04-22,Liquidity/funding,Asset purchases,,Increased the proportion of gilts held in the Asset Purchase Facility (APR) that are made available to the Debt Management Office (DMO) to use in its market operations and for the DMO's Standing and Special Repo Facilities.,https://www.bankofengland.co.uk/news/2020/april/statement-on-increase-to-apf-gilt-lending-limits,,No,,False
1237,1875,United states,USA,High income,Other,2020-04-22,Banking sector,Prudential,"Relaxation in npe treatment (definition, classification, provisioning)","Announced a final rule that makes technical changes in the interim final rule that the agencies announced on March 27, 2020, allowing certain banks to delay the estimated impact of Current Expected Credit Losses on regulatory capital",https://www.occ.gov/news-issuances/bulletins/2020/bulletin-2020-42.html,,No,,False
1238,1876,Azerbaijan,AZE,Upper middle income,Cb,2020-04-23,Banking sector,Prudential,"Relaxation in capital requirement (definition of capital, car, risk weights)","Reduction of the total capital adequacy ratio for systemically important banks from 12% to 11% until January 1, 2021;",,2021-01-01,No,,False
1239,1877,Azerbaijan,AZE,Upper middle income,Cb,2020-04-23,Banking sector,Prudential,"Relaxation in capital requirement (definition of capital, car, risk weights)","Reduction of the total capital adequacy ratio for other banks from 10% to 9% until January 1, 2021;",,2021-01-01,No,,False
1240,1878,Azerbaijan,AZE,Upper middle income,Cb,2020-04-23,Banking sector,Prudential,"Release/defer capital buffers (conservation, counter-cyclical, systemic)","Reduction of the counter-cyclical capital buffer (CCyB) from 0.5% to 0% until January 1, 2021;",https://www.cbar.az/press-release-2580/central-bank-takes-decision-on-additional-measures-to-support-the-population-and-businesses-amid-coronavirus-pandemic,2021-01-01,No,,False
1241,1879,Azerbaijan,AZE,Upper middle income,Cb,2020-04-23,Banking sector,Prudential,"Relaxation in capital requirement (definition of capital, car, risk weights)","Exclude market and operational risks when calculating the capital adequacy ratio until January 1, 2021",,2021-01-01,No,,False
1242,1880,Azerbaijan,AZE,Upper middle income,Cb,2020-04-23,Banking sector,Prudential,"Relaxation in capital requirement (definition of capital, car, risk weights)","Reduction of the risk ratio on mortgage loans issued by banks at their own expense before April 1, 2020 from 100%  to 50%.",https://www.cbar.az/press-release-2580/central-bank-takes-decision-on-additional-measures-to-support-the-population-and-businesses-amid-coronavirus-pandemic,,No,,False
1243,1881,Azerbaijan,AZE,Upper middle income,Cb,2020-04-23,Banking sector,Prudential,"Relaxation in capital requirement (definition of capital, car, risk weights)",Reducing the risk level of loans to manufacturers of medical supplies and equipment from 100% to 20%.,https://www.cbar.az/press-release-2580/central-bank-takes-decision-on-additional-measures-to-support-the-population-and-businesses-amid-coronavirus-pandemic,,No,,False
1244,1884,Azerbaijan,AZE,Upper middle income,Cb,2020-04-23,Financial markets/nbfi,Market functioning,Regulatory measures,"Extension of the deadline for public disclosure of annual audited financial report by investment companies and the stock exchange until September 30, 2020.",,2020-09-30,No,,False
1245,1885,Azerbaijan,AZE,Upper middle income,Cb,2020-04-23,Financial markets/nbfi,Market functioning,Regulatory measures,Prolongation of the disclosure of annual and semi-annual reports to the public by issuers whose securities have been publicly offered and traded on a regulated market for a period of 1 (one) month.,https://www.cbar.az/press-release-2580/central-bank-takes-decision-on-additional-measures-to-support-the-population-and-businesses-amid-coronavirus-pandemic,,No,,False
1246,1886,Azerbaijan,AZE,Upper middle income,Cb,2020-04-23,Financial markets/nbfi,Market functioning,Regulatory measures,"Postponement of the inspection of the activities of licensed persons (investment company, stock exchange) in the securities market until September 30, 2020.",,2020-09-30,No,,False
1247,1887,Azerbaijan,AZE,Upper middle income,Cb,2020-04-23,Banking sector,Prudential,"Relaxation in npe treatment (definition, classification, provisioning)","Moratorium on reclassification of restructured mortgage loans due to quality deterioration until September 30, 2020.",https://www.cbar.az/press-release-2580/central-bank-takes-decision-on-additional-measures-to-support-the-population-and-businesses-amid-coronavirus-pandemic,2020-09-30,No,,False
1248,1888,Azerbaijan,AZE,Upper middle income,Cb,2020-04-23,Banking sector,Prudential,Prioritize or review critical supervisory actions,"Postponement of inspections in credit institutions (comprehensive and thematic) until September 30, 2020, except  in cases where urgent response is required.",,2020-09-30,No,,False
1249,1889,Azerbaijan,AZE,Upper middle income,Cb,2020-04-23,Banking sector,Support borrowers,Encourage restructuring of loans,"Restructuring of mortgage loans issued at the expense of the Mortgage and Credit Guarantee Fund until March 1, 2020 on the basis of the Fund's consent (by amending the relevant normative documents of the Fund for this purpose) until September 30, 2020.",https://www.cbar.az/press-release-2580/central-bank-takes-decision-on-additional-measures-to-support-the-population-and-businesses-amid-coronavirus-pandemic,2020-09-30,No,,False
1250,1890,Azerbaijan,AZE,Upper middle income,Cb,2020-04-23,Financial markets/nbfi,Nbfi,Other nbfi,"Postponement of corrective measures by the Central Bank until January 1, 2021 in case of violation of capital requirements  of investment companies.",https://www.cbar.az/press-release-2580/central-bank-takes-decision-on-additional-measures-to-support-the-population-and-businesses-amid-coronavirus-pandemic,2021-01-01,No,,False
1251,1891,Azerbaijan,AZE,Upper middle income,Cb,2020-04-23,Financial markets/nbfi,Nbfi,Insurance,"Receivables of insurers directly affected by the special quarantine regime that are arising after March 1, 2020 and exceeding 90 days, to be taken into account in the calculation of insurance reserves and the insurer's own funds until January 1, 2021.",https://www.cbar.az/press-release-2580/central-bank-takes-decision-on-additional-measures-to-support-the-population-and-businesses-amid-coronavirus-pandemic,2021-01-01,No,,False
1252,1892,Azerbaijan,AZE,Upper middle income,Cb,2020-04-23,Financial markets/nbfi,Market functioning,Other market functioning,"Transfer of settlement regime of deals with government bonds, notes of the Central Bank and mortgage bonds on secondary market from ���T + 1��? mode to ���T + 0��? mode until September 30, 2020",,2020-09-30,No,,False
1253,1893,Azerbaijan,AZE,Upper middle income,Cb,2020-04-23,Financial markets/nbfi,Market functioning,Other market functioning,"Cancellation of listing tariffs on corporate bonds listed on the Baku Stock Exchange from April 1, 2020 to January 1, 2021",,2021-01-01,No,,False
1254,1894,Azerbaijan,AZE,Upper middle income,Cb,2020-04-23,Financial markets/nbfi,Market functioning,Other market functioning,"Cancellation of tariffs and fees paid to the National Depository Center over securities deals and repo transactions concluded in the secondary market until September 30, 2020",,2020-09-30,No,,False
1255,1895,Azerbaijan,AZE,Upper middle income,Cb,2020-04-23,Financial markets/nbfi,Market functioning,Regulatory measures,"Minimization of the range of documents required by the Baku Stock Exchange when placing securities on the stock exchange by public offering by January 1, 2021 (only an extract from the state register of securities and an issue prospectus are required)",,2021-01-01,No,,False
1256,1896,Azerbaijan,AZE,Upper middle income,Cb,2020-04-23,Payment systems,Promoting and ensuring availability of digital payment mechanisms,,"Reduction by 50 % of the service fees changed to banks in interbank payment systems until September 30, 2020. Reduction of bank acquirer tariffs by 50% until September 30, 2020 in order to reduce the costs incurred by business for card-based payments. .",https://www.cbar.az/press-release-2580/central-bank-takes-decision-on-additional-measures-to-support-the-population-and-businesses-amid-coronavirus-pandemic,2020-09-30,No,,False
1257,1898,Azerbaijan,AZE,Upper middle income,Cb,2020-04-23,Banking sector,Support borrowers,Flexibility in credit information requirements,Negative information on borrowers with satisfactory quality credits as of 01.03.2020 and delaying credit obligations due to the pandemic should be submitted to the credit bureau with a special note by 30.09.2020; borrowers' credit history will not be worsened,https://home.kpmg/content/dam/kpmg/fr/pdf/covid-19/fr-03062020-DA-int.pdf,2020-09-30,No,,False
1258,1900,Brazil,BRA,Upper middle income,Cb,2020-04-23,Banking sector,Prudential,Lower risks weights for credit with public guarantees,"Amended the prudential requirements applicable to financial institutions under the Emergency Employment Support Program in which the portion paid by the Union in credit operations contracted under the Emergency Employment Support Program (PESE) will not be counted as an exposure of the participating financial institution, for the purposes of calculating the capital requirement through a standardized approach (RWACPAD) and Leverage Ratio (RA)",https://www.bcb.gov.br/detalhenoticia/17050/nota,,No,,False
1259,1901,Brazil,BRA,Upper middle income,Cb,2020-04-23,Liquidity/funding,Liquidity (incl fx)/ela,,Decided to allow financial institutions to capture Time Deposits with Special Guarantee (DPGE) from institutions associated with the Credit Guarantee Fund (FGC). Funding will be guaranteed by the FGC up to a maximum amount of R $ 400 million of the total credits of each holding institution against the institution or conglomerate issuing DPGE,https://www.bcb.gov.br/detalhenoticia/17051/nota,,No,,False
1260,1902,Canada,CAN,High income,Other,2020-04-23,Banking sector,Operational continuity,,FINTRAC message to all reporting entities in light of COVID-19 .,https://www.fintrac-canafe.gc.ca/covid19/covid-2020-03-25-eng,,No,,False
1261,1903,Dominican republic,DOM,Upper middle income,Cb,2020-04-23,Banking sector,Support borrowers,"State subsidies, direct loans and tax incentives to facilitate repayments","Some RD $ 7,800 million have been channeled from legal reserve release as loans for households, highlighting the financing for Commerce and MSMEs (RD $ 3,950 million), Export ( RD $ 1,130 million) and Manufacturing (RD $ 1,870 million).",https://www.bancentral.gov.do/a/d/4823-banco-central-ha-puesto-a-disposicion-de-los-sectores-productivos-y-de-los-hogares-mas-de-rd100-mil-millones-y-us622-millones-para-mitigar-el-impacto-del-covid19,,No,,False
1262,1904,Ecuador,ECU,Upper middle income,Other,2020-04-23,Banking sector,Integrity,"Promoting digital channels in line with aml/cft requirements (via e-kyc, digital signature, and online document","UAFE has disseminated through its social networks on twitter (@UAFE_EC) and facebook (@UafeEc) and has sent massive emails to the reporting entities in Ecuador, regarding an explanatory brochure - prepared by the UAFE, taking into account the statement issued by GAFILAT - on the phenomena that SOs must consider as risks from this pandemic.",https://www.uafe.gob.ec/recomendaciones-durante-la-pandemia-covid-19/,,No,,False
1263,1906,India,IND,Lower middle income,Cb,2020-04-27,Liquidity/funding,Liquidity (incl fx)/ela,,"Decided to conduct simultaneous purchase and sale of government securities under Open Market Operations (OMO) for ��_ 10,000 crores each on April 27, 2020",https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=49712,,No,,False
1264,1907,Malawi,MWI,Low income,Cb,2020-04-23,Payment systems,Promoting and ensuring availability of digital payment mechanisms,,"For MNOs, remove fees on operations carried out within the same network. Reduce fees across networks from a minimum of K120 to K20",https://www.rbm.mw/MediaCenter/PressReleases/,,No,,False
1265,1908,Oman,OMN,High income,Cb,2020-04-23,Banking sector,Support borrowers,Mandatory credit repayment moratorium,"Issued a circular to all banks, finance and finance leasing companies to defer all types of instalments of loans  of Omani low-pay manpower. The deferment will last three months from the date of postponement.The decision will begin to take effect from the salaries of May 2020 until further notice",https://omaninfo.om/topics/85/show/7854,,No,,False
1266,1909,Philippines,PHL,Lower middle income,Cb,2020-04-23,Banking sector,Prudential,Temporary ease on liquidity requirements,"Eased the asset cover requirement of banks with expanded/foreign currency deposit units (E/FCDUs) to provide the covered institutions with greater flexibility to manage their foreign currency exposures.Under the new rules, banks shall be allowed to offset any deficiency in the asset cover incurred on one or more days of the week with the excess cover that they may hold on other days of the same week and the immediately succeeding week.",http://www.bsp.gov.ph/publications/media.asp?id=5364,,No,,False
1267,1910,Russian federation,RUS,Upper middle income,Cb,2020-04-23,Financial markets/nbfi,Nbfi,Insurance,Advises insurers not to apply sanctions to insurants for time of restrictive measures. Lawmakers have restricted the conclusion of life insurance agreements in electronic form.,https://www.emis.com/php/search/doc?pc=RU&dcid=677483968&range=7&sv=EMIS&query_entry=quick&search_mode=1&sort_by=date&dtyp%5b%5d=1&dtyp%5b%5d=6&dtyp%5b%5d=1&dtyp%5b%5d=6&prod_filter=prod_VN&keyword=insurance+measures&title=0&rpp=25&change_selected_countri,,No,,False
1268,1911,Russian federation,RUS,Upper middle income,Cb,2020-04-23,Payment systems,Easing regulatory requirements,,"Pensioners are enabled to continue receiving pensions using their bank cards. The measures provided for by Article 74 of Federal Law No. 86-FZ, dated 10 July 2002, 'On the Central Bank of the Russian Federation (Bank of Russia)' will not be applied in the case of depositing pensions to bank accounts that provide for the conduct of operations with the use of those bank payment cards which are not the national payment instruments.",,,No,,False
1269,1912,Saudi arabia,SAU,High income,Cb,2020-04-23,Banking sector,Support borrowers,Mandatory credit repayment moratorium,"Directed all banks to postpone the payment of three months installments for all financing products without any additional cost or fees for the Saudi workers covered in support according to the unemployment insurance (Sand) system, starting from the month",http://www.sama.gov.sa/ar-sa/News/Pages/news553.aspx,,No,,False
1270,1913,Ukraine,UKR,Lower middle income,Cb,2020-04-23,Liquidity/funding,Policy rate,,Lowered the discount rate from a level of 10% to 8% in an effort to provide the economy with incentives to support businesses and the public during difficult times.,https://bank.gov.ua/news/all/rishennya-oblikova-stavka-2020-04-23,,No,,False
1271,1914,United states,USA,High income,Cb,2020-04-23,Liquidity/funding,Liquidity (incl fx)/ela,,"Announced temporary actions aimed at increasing the availability of intraday credit extended by Federal Reserve Banks  on both a collateralized and uncollateralized basis, including suspending uncollateralized intraday credit limits (net debit caps) and waiving overdraft fees for institutions that are eligible for the primary credit program; and permitting a streamlined procedure for secondary credit institutions to request collateralized intraday credit (max caps). Relatedly, the Board is suspending two collections of information that are used to calculate net debit caps. These actions will remain in effect until September 30, 2020",https://www.federalreserve.gov/newsevents/pressreleases/other20200423a.htm,2020-09-30,No,,False
1272,1915,United states,USA,High income,Cb,2020-04-23,Liquidity/funding,Liquidity (incl fx)/ela,,Announced that it is working to expand access to its Paycheck Protection Program Liquidity Facility (PPPLF)  for additional SBA-qualified lenders as soon as possible,https://www.federalreserve.gov/newsevents/pressreleases/monetary20200423b.htm,,Extension,1394.0,True
1273,1916,United states,USA,High income,Other,2020-04-23,Banking sector,Support borrowers,Other support borrowers,"Announced that Federal Home Loan Banks (FHLBanks) can accept Paycheck Protection Program (PPP) loans  as collateral when making loans, called advances, to their members",https://www.fhfa.gov/Media/PublicAffairs/Pages/FHFA-Supports-Small-Business-by-Allowing-FHLBanks-to-Accept-PPP-Loans-as-Collateral.aspx,,No,,False
1274,1918,Bolivia,BOL,Lower middle income,Cb,2020-04-24,Liquidity/funding,Asset purchases,,"The Central Bank of Bolivia (BCB) injected 3.5 billion Bolivianos (more than $500 million) by purchasing bonds from the pension funds, which, in turn, are expected to deposit the money at banks, increasing the banking system liquidity by about 50 percent.",https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19,,No,,False
1275,1919,Canada,CAN,High income,Cb,2020-04-24,Liquidity/funding,Liquidity (incl fx)/ela,,Amended the Standing Term Liquidity Facility (STLF) to include term of up to ninety (90) days,https://www.bankofcanada.ca/2020/04/bank-canada-announces-further-enhancements-to-standing-term-liquidity-facility-stlf/,,Other,333.0,True
1276,1921,Estonia,EST,High income,Other,2020-04-24,Financial markets/nbfi,Nbfi,Pensions,The economic stimulus package includes temporary suspension of second pillar pension scheme payments,https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19,,No,,False
1277,1922,Georgia,GEO,Upper middle income,Cb,2020-04-24,Liquidity/funding,Liquidity (incl fx)/ela,,Liquidity provision to banks and microfinance institutions through emergency swap facility. USD 400 million aggregate. USD 200 million for commercial banks; 200 millions for microfinance institutions.,https://www.nbg.gov.ge/index.php?m=340&newsid=3907,,No,,False
1278,1923,Georgia,GEO,Upper middle income,Gov,2020-04-24,Banking sector,Support borrowers,State guarantees on loans,Government announced GEL 300 credit guarantee scheme to improve SME access to finance,,,No,,False
1279,1924,"Hong kong sar, china",HKG,High income,Gov,2020-04-24,Banking sector,Support borrowers,Other credit repayment moratorium,Allowing banks and financial institutions taking part in providing mortgage loans for the Housing Authority Subsidised  Sale Flats Scheme (SSFS) to offer a mortgage principal moratorium plan to the scheme's mortgagors for a maximum 12-month period and the mortgage loan repayment period may be extended correspondingly by a maximum of 12 months,https://www.news.gov.hk/eng/2020/04/20200424/20200424_191359_424.html?type=category&name=covid19,,No,,False
1280,1926,India,IND,Lower middle income,Sup,2020-04-24,Financial markets/nbfi,Nbfi,Insurance,"In view of the emerging market conditions, and to conserve capital with the insurance companies in the interests of the policyholders and of the economy at large,IRDAI (insurance regulator) ��has urged insurers to take a conscious call to refrain from dividend pay-outs from profits pertaining to the financial year ending 31st March 2020, till further instructions. This position shall be reassessed by the Authority based on financial results of insurers for the quarter ending 30th September, 2020.",https://www.irdai.gov.in/ADMINCMS/cms/whatsNew_Layout.aspx?page=PageNo4108&flag=1,,No,,False
1281,1927,Jamaica,JAM,Upper middle income,Cb,2020-04-24,Banking sector,Prudential,Restrictions on use of profits and resources (e.g. dividends),"FHC designates and DTIs will suspend the distribution of profits by way of declaring dividends in any manner (cash or stock) for the 2020 financial year, until further notice.",http://www.boj.org.jm/uploads/news/suspension_of_dividends_due_to_the_novel_covid-19_virus_24_april_2020.pdf,,No,,False
1282,1928,Malawi,MWI,Low income,Cb,2020-04-23,Payment systems,Promoting and ensuring availability of digital payment mechanisms,,Transaction and balance limits have been raised,https://www.rbm.mw/MediaCenter/PressReleases/,,No,,False
1283,1929,Myanmar,MMR,Lower middle income,Cb,2020-04-24,Banking sector,Prudential,Other prudential flexibility,"CBM granted a three-year extension for banks to comply with four directives to better align the sector with international standards released in 2017. Banks now have until August 31, 2023 to comply with: Notification No. (16/2017) Capital Adequacy Regulation, Notification No. (17/2017) Asset Classification and Provisioning Regulations, Notification No. (18/2017) Large Exposures Regulation, and Notification No. (19/2017) Liquidity Ration Requirement Regulation.",https://www.mmtimes.com/news/central-bank-extends-regulation-compliance-deadline-2023.html,,No,,False
1284,1930,Nepal,NPL,Low income,Cb,2020-04-24,Banking sector,Support borrowers,Other credit repayment moratorium,"Loan repayments (principle, interest, instalment) to MFIs due in mid-April 2020, which was extended by one quarter, i.e. up to mid-July 2020, however, has now been further extended to mid-January 2021.",,2021-01-15,Extension,983.0,True
1285,1931,Nepal,NPL,Low income,Cb,2020-04-24,Banking sector,Support borrowers,Encourage restructuring of loans,"Borrowers (regular in dues as of mid-December 2019), whose loan repayment capacity has been impaired due to COVID-19, can seek to reschedule or restructure loans, for once for a period of one year; However, at least 25% of the interest accrued and payable on the date of rescheduling or restructuring has to be recovered and the remaining interest may be capitalized.",,,No,,False
1286,1932,Nepal,NPL,Low income,Cb,2020-04-24,Banking sector,Support borrowers,Other credit repayment moratorium,"In case of projects under construction phase, grace period is extended by a maximum of one year.",,,No,,False
1287,1933,Nepal,NPL,Low income,Cb,2020-04-24,Banking sector,Support borrowers,Caps on interest rates or fees,"Banks are mandated to reduce lending rates by 200 bps for the fourth quarter (mid-April to mid-July 2020) subject to (a) exclusion list, (b) not compulsory to go  below base rate, (c ) 300 bps to retail clients of MFIs and 200 bps if it's a wholesale loan from an MFI, and (d) the reduced rate is applicable until end of fourth quarter only.",https://www.nrb.org.np/contents/uploads/2020/07/Monetary_Policy_in_Nepali-2077-78_Full_Text-new-1.pdf,,No,,False
1288,1934,Nepal,NPL,Low income,Cb,2020-04-24,Liquidity/funding,Liquidity (incl fx)/ela,,"Availability of NPR 10 billion as Refinance Facility at normal refinance rate to the MFIs for a duration one year, which can be on-lent at a spread of 4 percent.",,,No,,False
1289,1935,Nepal,NPL,Low income,Cb,2020-04-24,Banking sector,Prudential,Other prudential flexibility,"MFIs operating beyond their geographical (provincial) jurisdiction are given up to mid-July 2020 for selling, closing or trans-locating branches.",,,No,,False
1290,1936,Nepal,NPL,Low income,Cb,2020-04-24,Banking sector,Prudential,Other prudential relaxation,MFIs not able to comply with capital fund requirement due to COVID-19 will not face actions related to compliance until mid-July 2021.,,2021-07-15,No,,False
